Country name,Happiness Score,Happiness Rank,Social support,GDP per Capita,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Year,CO2 Production,HDI
Switzerland,7.587,1.0,1.34951,1.39651,0.94143,0.66557,0.41978,2015,4.668199391,0.954
Iceland,7.561,2.0,1.40223,1.30232,0.94784,0.62877,0.14145,2015,10.70787269,0.945
Denmark,7.527,3.0,1.36058,1.32548,0.87464,0.64938,0.48357,2015,6.188361303,0.936
Norway,7.522,4.0,1.33095,1.459,0.88521,0.66973,0.36503,2015,8.772584366,0.953
Canada,7.427,5.0,1.32261,1.32629,0.90563,0.63297,0.32957,2015,15.90658544,0.926
Finland,7.406,6.0,1.31826,1.29025,0.88911,0.64169,0.41372,2015,8.05059621,0.93
Netherlands,7.378,7.0,1.28017,1.32944,0.89284,0.61576,0.31814,2015,9.69388728,0.932
Sweden,7.364,8.0,1.28907,1.33171,0.91087,0.6598,0.43844,2015,4.465214876,0.937
New Zealand,7.286,9.0,1.31967,1.25018,0.90837,0.63938,0.42922,2015,7.816892374,0.931
Australia,7.284,10.0,1.30923,1.33358,0.93156,0.65124,0.35637,2015,16.85069952,0.933
Israel,7.278,11.0,1.22393,1.22857,0.91387,0.41319,0.07785,2015,7.893085032,0.909
Costa Rica,7.226,12.0,1.23788,0.95578,0.86027,0.63376,0.10583,2015,1.527702028,0.798
Austria,7.2,13.0,1.29704,1.33723,0.89042,0.62433,0.18676,2015,7.645373825,0.91
Mexico,7.187,14.0,0.91451,1.02054,0.81444,0.48181,0.21312,2015,3.955206712,0.768
United States,7.119,15.0,1.24711,1.39451,0.86179,0.54604,0.1589,2015,16.74083424,0.92
Brazil,6.983,16.0,1.23287,0.98124,0.69702,0.49049,0.17521,2015,2.58888062,0.753
Luxembourg,6.946,17.0,1.21963,1.56391,0.91894,0.61583,0.37798,2015,16.49430692,0.915
Ireland,6.94,18.0,1.36948,1.33596,0.89533,0.61777,0.28703,2015,8.315620349,0.925
Belgium,6.937,19.0,1.28566,1.30782,0.89667,0.5845,0.2254,2015,8.952519237,0.924
United Arab Emirates,6.901,20.0,1.12575,1.42727,0.80925,0.64157,0.38583,2015,23.38178108,0.865
United Kingdom,6.867,21.0,1.28548,1.26637,0.90943,0.59625,0.32067,2015,6.412680895,0.924
Venezuela,6.81,23.0,1.25596,1.04424,0.72052,0.42908,0.11069,2015,5.987807457,0.767
Singapore,6.798,24.0,1.02,1.52186,1.02525,0.54252,0.4921,2015,11.11028456,0.93
Panama,6.786,25.0,1.1985,1.06353,0.79661,0.5421,0.0927,2015,2.740994238,0.8
Germany,6.75,26.0,1.29937,1.32792,0.89186,0.61477,0.21843,2015,9.727783167,0.938
Chile,6.67,27.0,1.12447,1.10715,0.85857,0.44132,0.12869,2015,4.553558495,0.846
France,6.575,29.0,1.26038,1.27778,0.94579,0.55011,0.20646,2015,5.118603886,0.892
Argentina,6.574,30.0,1.24823,1.05351,0.78723,0.44974,0.08484,2015,4.466724129,0.848
Czech Republic,6.505,31.0,1.20643,1.17898,0.84483,0.46364,0.02652,2015,9.891583156,0.891
Uruguay,6.485,32.0,1.2089,1.06166,0.8116,0.60362,0.24558,2015,1.971126102,0.811
Colombia,6.477,33.0,1.24018,0.91861,0.69077,0.53466,0.0512,2015,1.935271658,0.754
Thailand,6.455,34.0,1.26504,0.9669,0.7385,0.55664,0.03187,2015,4.157602169,0.781
Saudi Arabia,6.411,35.0,1.08393,1.39541,0.72025,0.31048,0.32524,2015,21.27767468,0.859
Spain,6.329,36.0,1.31379,1.23011,0.95562,0.45951,0.06398,2015,5.821362504,0.889
Malta,6.302,37.0,1.30203,1.2074,0.88721,0.60365,0.13586,2015,4.015601106,0.889
Kuwait,6.295,39.0,1.16594,1.55422,0.72492,0.55499,0.25609,2015,23.81614724,0.83
El Salvador,6.13,42.0,1.02507,0.76454,0.67737,0.4035,0.11776,2015,1.055362709,0.668
Guatemala,6.123,43.0,1.04356,0.74553,0.64425,0.57733,0.09472,2015,0.973540632,0.639
Uzbekistan,6.003,44.0,1.34043,0.63244,0.59772,0.65821,0.30826,2015,3.278808681,0.701
Slovakia,5.995,45.0,1.26999,1.16891,0.78902,0.31751,0.03431,2015,6.330585467,0.851
Japan,5.987,46.0,1.25712,1.27074,0.99111,0.49615,0.1806,2015,9.558894626,0.918
South Korea,5.984,47.0,0.95774,1.24461,0.96538,0.33208,0.07857,2015,12.49852306,0.909
Ecuador,5.975,48.0,0.99903,0.86402,0.79075,0.48574,0.1809,2015,2.514146911,0.765
Bahrain,5.96,49.0,1.21624,1.32376,0.74716,0.45492,0.306,2015,23.66882409,0.858
Italy,5.948,50.0,1.19777,1.25114,0.95446,0.26236,0.02901,2015,5.964204062,0.882
Bolivia,5.89,51.0,0.97841,0.68133,0.5392,0.57414,0.088,2015,1.957518724,0.69
Moldova,5.889,52.0,1.01528,0.59448,0.61826,0.32818,0.01615,2015,1.1746874,0.749
Paraguay,5.878,53.0,1.30477,0.75985,0.66098,0.53899,0.08242,2015,0.904653877,0.723
Kazakhstan,5.855,54.0,1.12241,1.12254,0.64368,0.51649,0.08454,2015,16.42283959,0.805
Slovenia,5.848,55.0,1.27385,1.18498,0.87337,0.60855,0.03787,2015,6.577253079,0.903
